room,id,rssi,time,name
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-88.0,742178672.660219,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-73.0,742178672.774014,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-66.0,742178672.93386,
Office,414F0D2C-46EC-C389-42F1-4D29119C13D9,-92.0,742178673.049231,
Office,027FB0FB-DC1F-DA10-D7D4-C48E3EFC264C,-90.0,742178673.059104,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-62.0,742178673.250445,
Office,B671F330-8B05-1116-3916-8198FB8A94F3,-96.0,742178673.263399,NC4C2
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-64.0,742178673.318386,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-64.0,742178673.325735,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-70.0,742178673.448646,
Office,67EB91E0-FD93-5829-4998-296F1BEC8275,-95.0,742178673.586447,
Office,6A57F0FD-E1AA-126E-2B72-F817CD5BB6FF,-93.0,742178673.682121,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-69.0,742178673.716961,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-78.0,742178673.833999,
Office,64303B1C-8176-15D6-E44C-8C5F34BA7D2E,-46.0,742178674.023465,Brayden’s AirPods Max
Office,9C6E8A1B-393F-74B3-06B9-BA7FAE9E262A,-97.0,742178674.114723,
Office,14D3CD7C-3791-759C-A336-50E43ECE5869,-100.0,742178674.268151,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-66.0,742178674.284465,
Office,4CB1881F-F9CE-AE99-3A1A-7AE1F8A29795,-93.0,742178674.453218,
Office,4CB1881F-F9CE-AE99-3A1A-7AE1F8A29795,-92.0,742178674.461509,SF Home
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-63.0,742178674.579643,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-63.0,742178674.588827,
Office,1361FBA3-EF92-01C2-D097-D0E09A0A2C8F,-96.0,742178674.592273,
Office,1361FBA3-EF92-01C2-D097-D0E09A0A2C8F,-96.0,742178674.594926,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-91.0,742178674.60136,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-66.0,742178674.723323,
Office,DC04F0B4-B011-C554-FE8A-8287398A18E5,-97.0,742178674.823468,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-64.0,742178674.882053,
Office,4CB1881F-F9CE-AE99-3A1A-7AE1F8A29795,-97.0,742178675.069939,SF Home
Office,4CB1881F-F9CE-AE99-3A1A-7AE1F8A29795,-97.0,742178675.070115,SF Home
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-94.0,742178676.274281,Maliha’s Room
Office,4CB1881F-F9CE-AE99-3A1A-7AE1F8A29795,-96.0,742178676.310754,SF Home
Office,4CB1881F-F9CE-AE99-3A1A-7AE1F8A29795,-96.0,742178676.3212,SF Home
Office,B3A20606-B636-02B5-0245-EF117ADB530D,-91.0,742178676.367495,Govee_H6076_487B
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-67.0,742178676.374281,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-62.0,742178677.02512,
Office,492C3203-D363-90F4-7EA2-D62302815164,-96.0,742178677.110237,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-69.0,742178677.143194,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-69.0,742178677.584696,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-63.0,742178677.87461,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-64.0,742178677.88478,
Office,1D5A16A9-B50A-6092-24CB-26FDDACF9537,-97.0,742178678.192758,LEDnetWF02004114D679
Office,6323C86E-A07E-8F35-44E9-47FFA892E3B0,-95.0,742178678.373326,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-73.0,742178678.410462,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-71.0,742178678.484477,
Office,2FC7A4D8-1F0A-5198-904D-DC871565BE81,-97.0,742178678.600234,
Office,3507D905-A408-5976-2590-61DDF6681B36,-96.0,742178678.723092,
Office,87B58324-3708-DF25-FC14-ED10B0A7ABEC,-99.0,742178678.892693,
Office,E0457F12-ACB3-1975-B620-ABA033464B11,-98.0,742178679.036696,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-77.0,742178679.079229,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178679.087148,
Office,C230591B-8E7B-774A-8937-4B6E1E472864,-95.0,742178679.323229,
Office,102B470E-DD5B-8CF8-A48F-981A890AA0A6,-97.0,742178679.332195,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-79.0,742178679.673871,
Office,FA1B75BD-FFB1-8BDC-B29B-EC2CD8C0C80A,-97.0,742178679.996032,
Office,492C3203-D363-90F4-7EA2-D62302815164,-91.0,742178680.206786,S39 AEC4 LE
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-68.0,742178680.281358,
Office,AA9073B6-0900-4E10-2931-AAD4572185C8,-98.0,742178680.353538,
Office,05D45550-D3D6-6D3B-45F7-BF3BC212C75D,-96.0,742178680.541122,
Office,2BB32207-9875-061B-DC4D-6CC39026A35C,-99.0,742178680.568662,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-74.0,742178680.57706,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-73.0,742178680.588773,
Office,B5C4B591-8BBD-D13C-D600-BB276448BEC7,-98.0,742178680.641502,
Office,4B8F4A26-A5F3-6060-9C35-73B048B78812,-92.0,742178680.654872,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178680.875031,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178680.882215,
Office,64303B1C-8176-15D6-E44C-8C5F34BA7D2E,-51.0,742178681.002867,Brayden’s AirPods Max
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178681.045777,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178681.177224,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-73.0,742178681.592914,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-70.0,742178681.840486,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-70.0,742178681.849439,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-71.0,742178681.965152,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-71.0,742178681.976231,
Office,E0457F12-ACB3-1975-B620-ABA033464B11,-95.0,742178682.116134,[TV] Samsung 6 Series (70)
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742178682.388843,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742178682.39759,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-79.0,742178682.975505,
Office,BEE5B091-EA18-95FC-7F99-B6DAE09F7BB0,-92.0,742178683.402209,ihoment_H5080_B6B9
Office,AF8BA935-E3CC-8590-E4D8-7884C09FD19B,-97.0,742178683.520906,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-70.0,742178683.882349,
Office,89468852-2276-F295-3109-D632D8F8934F,-92.0,742178684.017252,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178684.47482,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-75.0,742178684.483792,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-70.0,742178685.12457,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-79.0,742178685.260064,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-70.0,742178685.376119,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-73.0,742178685.683859,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-76.0,742178685.976735,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-78.0,742178685.988344,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-65.0,742178686.274946,
